RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],30/03/2009,17398,6.1,22,128,31,7.84,680,1,0.93
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],19/06/2009,17688,7.9,24.1,120.3,20,6.61,200,0.61,0.53
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],31/10/2009,18197,7.8,25.5,199,110,7.19,1380,3.5,0.076
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],21/06/2010,18877,7.9,20.3,86.2,33,7.69,670,1.2,0.7
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],14/10/2010,19338,7.8,24.2,200,17,7.95,16,0.8,0.13
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],28/03/2011,20073,8.1,21.7,110.7,120,7.63,150,0.5,0.34
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],26/05/2011,20355,8.1,22,1122,44,7.7,830,2.1,0.96
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],13/09/2011,20708,7.6,21.4,76.6,25,7.25,120,0.62,0.13
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],30/11/2011,21008,7.1,20.7,124.5,34,6.09,280,1.3,0.71
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],10/04/2012,21450,8,15.7,118,88,7.77,610,0.5,0.32
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],19/09/2012,21772,7.8,22.2,109.2,26,7.75,20,0.5,0.098
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],22/11/2012,21990,7.9,22.4,119.2,98,7.65,1170,1.8,0.67
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],11/03/2013,22175,7.8,20.7,141.8,22,5.88,20,0.5,0.1
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],20/06/2013,22375,8.7,20.8,89.7,54,5.7,650,2.1,1.2
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],7/10/2013,22564,6.7,21.8,131.2,15,7.56,25,0.7,0.1
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],19/03/2014,23087,8.4,23.6,148.1,43,7.92,430,1.5,0.37
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],6/10/2016,25182,6.7,24.2,97.59,31,7.27,53,0.52,0.15
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],19/01/2017,25564,7.9,21.6,87.92,63,7.44,580,1.7,0.75
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],22/05/2017,26370,7.1,20.8,109,47,7.56,370,1.1,0.79
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],10/10/2017,26586,6.1,23.3,129,34,6.96,11,0.94,0.071
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],1/03/2018 15:00,26822,6.9,26.5,178,22,8.25,28,2,0.11
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],4/09/2018 8:40,27005,6.2,20.1,102.5,12,7.4,15,0.8,0.078
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],16/05/2019 14:30,27402,6.9,21.8,80.7,20,7.15,439,0.8,0.27
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],3/02/2020,27802,7.3,24.2,84,18,6.66,12,1.09,0.08
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],19/09/2020,27978,6.9,21.4,108.3,18,7.14,13,0.8,0.054
RCA_MAGDALENA_HUI_ALTAMIRA_PERICONGO [21027010],15/09/2020,27963,7,21.4,59.6,19,7.59,15,0.8,0.093
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],13/02/2009,17217,6.7,26.1,136,23,7.34,75,0.66,0.19
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],15/05/2009,17598,6.5,24.4,151.8,23,7.4,68,0.5,0.15
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],15/09/2009,17869,7.7,22.6,118,10,6.54,21,1.3,0.093
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],8/02/2010,18396,7.2,28.7,199,10,7.65,7.5,0.5,0.05
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],20/08/2010,19102,7.9,24.2,57.6,22,7.58,25,0.5,0.084
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],24/02/2011,19860,6.6,26.3,137.5,46,7.55,440,1.1,0.74
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],30/04/2011,20236,6.4,23.3,104.3,91,7.33,520,0.85,0.38
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],15/07/2011,20513,6.8,22.1,94,17,7.49,71,0.5,0.16
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],25/10/2011,20836,5.7,25.5,118.4,23,6.68,58,0.5,0.17
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],16/04/2012,21481,5.9,23.5,112.6,23,7.33,140,0.62,0.25
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],18/07/2012,21685,7.7,23.7,112.7,12,7.55,12,0.5,0.12
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],17/10/2012,21897,7.5,23.8,105.2,17,7.22,29,0.5,0.13
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],5/06/2013,22348,5.1,25.1,115.1,43,7.24,93,0.85,0.24
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],26/09/2013,22543,7.2,25.3,107.7,20,7.65,12,0.71,0.09
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],10/03/2014,23074,5.1,25,123,22,7.3,51,0.69,0.12
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],8/05/2014,23244,6.5,25.4,126,,7.71,62,0.85,0.23
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],30/07/2014,23382,7.7,21.9,89.1,21,5.87,26,0.67,0.16
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],5/05/2015,23855,5.9,24.5,111,,6.91,6,0.7,0.082
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],14/10/2015,24186,5.7,28.7,105.7,21,4.11,4.5,2.9,0.058
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],9/12/2015,24392,6.9,24.7,98,36,7.27,9.6,0.61,0.11
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],15/07/2016,24815,6.1,24.5,97.05,23,7.59,25,0.77,0.12
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],12/09/2016,25105,6.9,24.8,96.4,27,7.77,9.2,0.94,0.095
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],3/12/2016,25434,7.4,23.8,69.7,49,6.87,,1.7,0.85
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],24/04/2017,26285,5.9,24.6,118.7,10,7.01,,0.98,0.13
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],23/06/2017,26445,5.9,23.3,113,18,7.14,150,1.2,0.29
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],26/09/2017,26554,4.9,25.4,108,58,7.47,6.8,1.2,0.078
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],1/11/2017,26679,6.7,25.6,110,17,7.65,6.4,0.8,0.08
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],2/04/2018 9:00,26876,5.8,24.3,128,15,7.19,14,0.56,0.064
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],15/5/2019:10:00:00,27401,5.5,24.9,109,10,7.33,16,0.8,0.1
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],31/01/2020,27800,6.3,26.1,125,23,7.39,12,0.8,0.084
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],21/08/2020,27952,7.9,25.2,107,10,7.48,11,0.8,0.073
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],25/02/2009,17293,6.3,25.2,161,24,7.42,120,0.85,0.21
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],22/05/2009,17617,6.7,25.7,23.9,18,7.65,92,0.83,0.3
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],25/09/2009,17931,7.9,26.1,134,13,6.77,26,0.51,0.15
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],23/02/2010,18444,6.9,28.4,183,12,7.65,20,0.5,0.14
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],27/05/2010,18724,6.7,24,91.8,76,7.68,1500,2,0.74
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],11/03/2011,19956,6.9,24.3,136.1,27,7.5,200,0.5,0.47
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],30/04/2011,20235,7.1,25.2,126.9,77,7.59,1660,1.4,1.3
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],25/07/2011,20536,,24.3,114.6,20,7.66,140,0.5,0.32
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],9/11/2011,20916,6.9,25.7,131.4,33,6.29,580,1.2,0.55
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],13/04/2012,21457,6.9,23.7,113.1,48,7.56,610,0.5,0.69
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],19/07/2012,21686,7.5,23.9,111,30,7.77,650,0.5,0.082
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],18/10/2012,21898,7.6,24.6,116.2,24,7.68,220,0.5,0.3
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],15/03/2013,22242,6.9,24.5,126,16,7.68,,2.6,0.23
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],4/06/2013,22345,6.9,23.6,119.7,34,7.73,240,0.55,0.28
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],19/09/2013,22539,7.3,24.5,108.6,11,7.48,87,0.72,0.11
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],6/03/2014,23064,6.3,25.8,140.9,21,7.59,130,0.62,0.19
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],29/07/2014,23381,8,23.5,92.8,60,5.94,1140,1.8,1.1
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],10/02/2015,23764,6.2,25.3,116.2,28,7.75,280,0.81,0.43
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],22/05/2015,23892,6,25,108.5,29,7.24,20,0.87,0.34
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],20/10/2015,24240,7.2,28.4,109,24,7.26,23,1.8,0.1
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],8/12/2015,24391,6.2,30.1,109.4,21,6.86,10,0.68,0.13
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],10/07/2016,24764,6.9,23.6,91.52,24,7.24,65,0.98,0.19
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],11/09/2016,25104,6.8,28.3,101,12,7.7,11,0.8,0.097
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],30/11/2016,25431,8.2,27.9,126.8,62,7.11,420,0.99,0.55
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],25/04/2017,26302,5.7,25.2,122.7,18,7.56,67,2,0.21
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],16/06/2017,26425,7,25.2,119,26,7.55,470,1.2,0.8
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],21/09/2017,26547,7.9,28,110,38,7.6,10,0.5,0.05
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],24/5/2019:13:00:00,27436,6.5,27.1,106,19,7.39,90,0.8,0.15
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],11/02/2020,27809,6.9,25.9,115,15,7.57,6,0.8,0.064
